Gene,RelationName,To
RB1,controls-expression-of,RPS6KA5
RB1,controls-expression-of,RRM2
RB1,controls-expression-of,RTBDN
RB1,interacts-with,RUNX1
RB1,in-complex-with,RUNX2
RB1,interacts-with,RUNX2
RB1,interacts-with,S100A4
RB1,interacts-with,SAFB
RB1,interacts-with,SAMD13
RB1,in-complex-with,SAP130
RB1,controls-expression-of,SASS6
RB1,interacts-with,SERPINA1
RB1,interacts-with,SERPINB2
RB1,interacts-with,SETD7
RB1,controls-expression-of,SEZ6
RB1,controls-expression-of,SFTPD
RB1,interacts-with,SGK1
RB1,interacts-with,SHC1
RB1,controls-expression-of,SIK2
RB1,controls-state-change-of,SIN3B
RB1,interacts-with,SIRT1
RB1,interacts-with,SKIL
RB1,interacts-with,SKI
RB1,in-complex-with,SKP2
RB1,interacts-with,SKP2
RB1,interacts-with,SLC22A18
RB1,controls-expression-of,SLC25A14
RB1,controls-expression-of,SLC38A1
RB1,controls-expression-of,SLC6A4
RB1,controls-expression-of,SLC9A5
RB1,controls-expression-of,SLCO3A1
RB1,controls-expression-of,SMAD6
RB1,in-complex-with,SMARCA2
RB1,interacts-with,SMARCA2
RB1,in-complex-with,SMARCA4
RB1,interacts-with,SMARCA4
RB1,interacts-with,SMARCB1
RB1,controls-expression-of,SMC1A
RB1,controls-state-change-of,SMC2
RB1,in-complex-with,SMC2
RB1,controls-expression-of,SMC3
RB1,controls-state-change-of,SMC4
RB1,in-complex-with,SMC4
RB1,controls-expression-of,SMC6
RB1,interacts-with,SMYD2
RB1,interacts-with,SNAPC1
RB1,interacts-with,SNAPC3
RB1,controls-expression-of,SNRPD1
RB1,interacts-with,SNW1
RB1,controls-expression-of,SOAT1
RB1,interacts-with,SOX7
RB1,in-complex-with,SP1
RB1,interacts-with,SP1
RB1,controls-expression-of,SP3
RB1,interacts-with,SP3
RB1,controls-state-change-of,SPI1
RB1,in-complex-with,SPI1
RB1,interacts-with,SPI1
RB1,interacts-with,SPIB
RB1,controls-expression-of,SPTB
RB1,controls-expression-of,SPTSSB
RB1,interacts-with,SRPRA
RB1,controls-expression-of,SRSF1
RB1,controls-expression-of,SRSF2
RB1,controls-expression-of,SRSF7
RB1,interacts-with,SSBP2
RB1,interacts-with,SSBP3
RB1,controls-expression-of,STAG2
RB1,interacts-with,STAT3
RB1,controls-expression-of,STK35
RB1,controls-expression-of,STMN1
RB1,controls-expression-of,STT3B
RB1,interacts-with,STX17
RB1,controls-expression-of,SUMO1
RB1,controls-expression-of,SUV39H1
RB1,in-complex-with,SUV39H1
RB1,interacts-with,SUV39H1
RB1,controls-expression-of,SYNCRIP
RB1,controls-expression-of,SYNGR4
RB1,interacts-with,TADA2A
RB1,controls-state-change-of,TAF1
RB1,interacts-with,TAF1
RB1,in-complex-with,TAL1
RB1,interacts-with,TAL1
RB1,controls-expression-of,TAOK1
RB1,controls-expression-of,TAOK2
RB1,controls-state-change-of,TBP
RB1,interacts-with,TBP
RB1,controls-expression-of,TBX6
RB1,interacts-with,TCF12
RB1,in-complex-with,TCF3
RB1,interacts-with,TCF3
RB1,interacts-with,TCP10
RB1,interacts-with,TCP11
RB1,in-complex-with,TFAP2A
RB1,interacts-with,TFAP2A
